Logical address: 6942		 Physical address: 26398		 value: 6
Logical address: 34998		 Physical address: 26806		 value: 34
Logical address: 27069		 Physical address: 27069		 value: 0
Logical address: 51926		 Physical address: 27350		 value: 50
Logical address: 60645		 Physical address: 7397		 value: 0
Logical address: 43181		 Physical address: 17581		 value: 0
Logical address: 10559		 Physical address: 27455		 value: 79
Logical address: 4664		 Physical address: 27704		 value: 0
Logical address: 28578		 Physical address: 28066		 value: 27
Logical address: 59516		 Physical address: 25980		 value: 0
Logical address: 38912		 Physical address: 3840		 value: 0
Logical address: 63562		 Physical address: 28234		 value: 62
Logical address: 64846		 Physical address: 2126		 value: 63
Logical address: 62938		 Physical address: 28634		 value: 61
Logical address: 27194		 Physical address: 28730		 value: 26
Logical address: 28804		 Physical address: 1412		 value: 0
Logical address: 61703		 Physical address: 22279		 value: 65
Logical address: 10998		 Physical address: 12534		 value: 10
Logical address: 6596		 Physical address: 29124		 value: 0
Logical address: 37721		 Physical address: 29273		 value: 0
Logical address: 43430		 Physical address: 29606		 value: 42
Logical address: 22692		 Physical address: 2980		 value: 0
Logical address: 62971		 Physical address: 28667		 value: 126
Logical address: 47125		 Physical address: 29717		 value: 0
Logical address: 52521		 Physical address: 29993		 value: 0
Logical address: 34646		 Physical address: 18006		 value: 33
Logical address: 32889		 Physical address: 4217		 value: 0
Logical address: 13055		 Physical address: 30463		 value: -65
Logical address: 65416		 Physical address: 30600		 value: 0
Logical address: 62869		 Physical address: 28565		 value: 0
Logical address: 57314		 Physical address: 30946		 value: 55
Logical address: 12659		 Physical address: 31091		 value: 92
Logical address: 14052		 Physical address: 31460		 value: 0
Logical address: 32956		 Physical address: 4284		 value: 0
Logical address: 49273		 Physical address: 8569		 value: 0
Logical address: 50352		 Physical address: 14000		 value: 0
Logical address: 49737		 Physical address: 31561		 value: 0
Logical address: 15555		 Physical address: 31939		 value: 48
Logical address: 47475		 Physical address: 32115		 value: 92
Logical address: 15328		 Physical address: 32480		 value: 0
Logical address: 34621		 Physical address: 17981		 value: 0
Logical address: 51365		 Physical address: 32677		 value: 0
Logical address: 32820		 Physical address: 4148		 value: 0
Logical address: 48855		 Physical address: 32983		 value: -75
Logical address: 12224		 Physical address: 2752		 value: 0
Logical address: 2035		 Physical address: 33267		 value: -4
Logical address: 60539		 Physical address: 7291		 value: 30
Logical address: 14595		 Physical address: 33283		 value: 64
Logical address: 13853		 Physical address: 31261		 value: 0
Logical address: 24143		 Physical address: 33615		 value: -109
Logical address: 15216		 Physical address: 32368		 value: 0
Logical address: 8113		 Physical address: 33969		 value: 0
Logical address: 22640		 Physical address: 2928		 value: 0
Logical address: 32978		 Physical address: 4306		 value: 32
Logical address: 39151		 Physical address: 4079		 value: 59
Logical address: 19520		 Physical address: 22592		 value: 0
Logical address: 58141		 Physical address: 34077		 value: 0
Logical address: 63959		 Physical address: 21975		 value: 117
Logical address: 53040		 Physical address: 34352		 value: 0
Logical address: 55842		 Physical address: 34594		 value: 54
Logical address: 585		 Physical address: 17225		 value: 0
Logical address: 51229		 Physical address: 32541		 value: 0
Logical address: 64181		 Physical address: 4533		 value: 0
Logical address: 54879		 Physical address: 3679		 value: -105
Logical address: 28210		 Physical address: 34866		 value: 27
Logical address: 10268		 Physical address: 14620		 value: 0
Logical address: 15395		 Physical address: 31779		 value: 8
Logical address: 12884		 Physical address: 30292		 value: 0
Logical address: 2149		 Physical address: 35173		 value: 0
Logical address: 53483		 Physical address: 35563		 value: 58
Logical address: 59606		 Physical address: 26070		 value: 58
Logical address: 14981		 Physical address: 24709		 value: 0
Logical address: 36672		 Physical address: 35648		 value: 0
Logical address: 23197		 Physical address: 35997		 value: 0
Logical address: 36518		 Physical address: 14502		 value: 35
Logical address: 13361		 Physical address: 36145		 value: 0
Logical address: 19810		 Physical address: 36450		 value: 19
Logical address: 25955		 Physical address: 36707		 value: 88
Logical address: 62678		 Physical address: 470		 value: 61
Logical address: 26021		 Physical address: 36773		 value: 0
Logical address: 29409		 Physical address: 37089		 value: 0
Logical address: 38111		 Physical address: 37343		 value: 55
Logical address: 58573		 Physical address: 15565		 value: 0
Logical address: 56840		 Physical address: 37384		 value: 0
Logical address: 41306		 Physical address: 24922		 value: 40
Logical address: 54426		 Physical address: 19354		 value: 53
Logical address: 3617		 Physical address: 10017		 value: 0
Logical address: 50652		 Physical address: 18652		 value: 0
Logical address: 41452		 Physical address: 25068		 value: 0
Logical address: 20241		 Physical address: 16657		 value: 0
Logical address: 31723		 Physical address: 12267		 value: -6
Logical address: 53747		 Physical address: 1011		 value: 124
Logical address: 28550		 Physical address: 28038		 value: 27
Logical address: 23402		 Physical address: 20586		 value: 22
Logical address: 21205		 Physical address: 37845		 value: 0
Logical address: 56181		 Physical address: 25205		 value: 0
Logical address: 57470		 Physical address: 38014		 value: 56
Logical address: 39933		 Physical address: 38397		 value: 0
Logical address: 34964		 Physical address: 26772		 value: 0
Logical address: 24781		 Physical address: 38605		 value: 0
Logical address: 41747		 Physical address: 38675		 value: -60
Logical address: 62564		 Physical address: 356		 value: 0
Logical address: 58461		 Physical address: 15453		 value: 0
Logical address: 20858		 Physical address: 39034		 value: 20
Logical address: 49301		 Physical address: 8597		 value: 0
Logical address: 40572		 Physical address: 39292		 value: 0
Logical address: 23840		 Physical address: 39456		 value: 0
Logical address: 35278		 Physical address: 39886		 value: 34
Logical address: 62905		 Physical address: 28601		 value: 0
Logical address: 56650		 Physical address: 13386		 value: 55
Logical address: 11149		 Physical address: 40077		 value: 0
Logical address: 38920		 Physical address: 3848		 value: 0
Logical address: 23430		 Physical address: 20614		 value: 22
Logical address: 57592		 Physical address: 38136		 value: 0
Logical address: 3080		 Physical address: 40200		 value: 0
Logical address: 6677		 Physical address: 6677		 value: 0
Logical address: 50704		 Physical address: 26128		 value: 0
Logical address: 51883		 Physical address: 27307		 value: -86
Logical address: 62799		 Physical address: 28495		 value: 83
Logical address: 20188		 Physical address: 40668		 value: 0
Logical address: 1245		 Physical address: 40925		 value: 0
Logical address: 12220		 Physical address: 2748		 value: 0
Logical address: 17602		 Physical address: 41154		 value: 17
Logical address: 28609		 Physical address: 28097		 value: 0
Logical address: 42694		 Physical address: 20934		 value: 41
Logical address: 29826		 Physical address: 41346		 value: 29
Logical address: 13827		 Physical address: 31235		 value: -128
Logical address: 27336		 Physical address: 28872		 value: 0
Logical address: 53343		 Physical address: 35423		 value: 23
Logical address: 11533		 Physical address: 41485		 value: 0
Logical address: 41713		 Physical address: 41969		 value: 0
Logical address: 33890		 Physical address: 42082		 value: 33
Logical address: 4894		 Physical address: 13598		 value: 4
Logical address: 57599		 Physical address: 38143		 value: 63
Logical address: 3870		 Physical address: 18974		 value: 3
Logical address: 58622		 Physical address: 15614		 value: 57
Logical address: 29780		 Physical address: 41300		 value: 0
Logical address: 62553		 Physical address: 345		 value: 0
Logical address: 2303		 Physical address: 35327		 value: 63
Logical address: 51915		 Physical address: 27339		 value: -78
Logical address: 6251		 Physical address: 7531		 value: 26
Logical address: 38107		 Physical address: 37339		 value: 54
Logical address: 59325		 Physical address: 10429		 value: 0
Logical address: 61295		 Physical address: 42351		 value: -37
Logical address: 26699		 Physical address: 42571		 value: 18
Logical address: 51188		 Physical address: 42996		 value: 0
Logical address: 59519		 Physical address: 25983		 value: 31
Logical address: 7345		 Physical address: 43185		 value: 0
Logical address: 20325		 Physical address: 16741		 value: 0
Logical address: 39633		 Physical address: 43473		 value: 0
Logical address: 1562		 Physical address: 43546		 value: 1
Logical address: 7580		 Physical address: 6300		 value: 0
Logical address: 8170		 Physical address: 34026		 value: 7
Logical address: 62256		 Physical address: 23856		 value: 0
Logical address: 35823		 Physical address: 44015		 value: -5
Logical address: 27790		 Physical address: 44174		 value: 27
Logical address: 13191		 Physical address: 44423		 value: -31
Logical address: 9772		 Physical address: 44588		 value: 0
Logical address: 7477		 Physical address: 6197		 value: 0
Logical address: 44455		 Physical address: 44967		 value: 105
Logical address: 59546		 Physical address: 26010		 value: 58
Logical address: 49347		 Physical address: 8643		 value: 48
Logical address: 36539		 Physical address: 14523		 value: -82
Logical address: 12453		 Physical address: 45221		 value: 0
Logical address: 49640		 Physical address: 45544		 value: 0
Logical address: 28290		 Physical address: 34946		 value: 27
Logical address: 44817		 Physical address: 13073		 value: 0
Logical address: 8565		 Physical address: 20085		 value: 0
Logical address: 16399		 Physical address: 45583		 value: 3
Logical address: 41934		 Physical address: 38862		 value: 40
Logical address: 45457		 Physical address: 45969		 value: 0
Logical address: 33856		 Physical address: 42048		 value: 0
Logical address: 19498		 Physical address: 22570		 value: 19
Logical address: 17661		 Physical address: 41213		 value: 0
Logical address: 63829		 Physical address: 21845		 value: 0
Logical address: 42034		 Physical address: 46130		 value: 41
Logical address: 28928		 Physical address: 16384		 value: 0
Logical address: 30711		 Physical address: 16375		 value: -3
Logical address: 8800		 Physical address: 46432		 value: 0
Logical address: 52335		 Physical address: 46703		 value: 27
Logical address: 38775		 Physical address: 46967		 value: -35
Logical address: 52704		 Physical address: 30176		 value: 0
Logical address: 24380		 Physical address: 1596		 value: 0
Logical address: 19602		 Physical address: 22674		 value: 19
Logical address: 57998		 Physical address: 3214		 value: 56
Logical address: 2919		 Physical address: 11623		 value: -39
Logical address: 8362		 Physical address: 47274		 value: 8
Logical address: 17884		 Physical address: 9948		 value: 0
Logical address: 45737		 Physical address: 7849		 value: 0
Logical address: 47894		 Physical address: 25622		 value: 46
Logical address: 59667		 Physical address: 47379		 value: 68
Logical address: 10385		 Physical address: 14737		 value: 0
Logical address: 52782		 Physical address: 47662		 value: 51
Logical address: 64416		 Physical address: 5024		 value: 0
Logical address: 40946		 Physical address: 8434		 value: 39
Logical address: 16778		 Physical address: 48010		 value: 16
Logical address: 27159		 Physical address: 28695		 value: -123
Logical address: 24324		 Physical address: 1540		 value: 0
Logical address: 32450		 Physical address: 7106		 value: 31
Logical address: 9108		 Physical address: 48276		 value: 0
Logical address: 65305		 Physical address: 30489		 value: 0
Logical address: 19575		 Physical address: 22647		 value: 29
Logical address: 11117		 Physical address: 40045		 value: 0
Logical address: 65170		 Physical address: 48530		 value: 63
Logical address: 58013		 Physical address: 3229		 value: 0
Logical address: 61676		 Physical address: 23276		 value: 0
Logical address: 63510		 Physical address: 28182		 value: 62
Logical address: 17458		 Physical address: 41010		 value: 17
Logical address: 54675		 Physical address: 48787		 value: 100
Logical address: 1713		 Physical address: 43697		 value: 0
Logical address: 55105		 Physical address: 5185		 value: 0
Logical address: 65321		 Physical address: 30505		 value: 0
Logical address: 45278		 Physical address: 49118		 value: 44
Logical address: 26256		 Physical address: 49296		 value: 0
Logical address: 64198		 Physical address: 4550		 value: 62
Logical address: 29441		 Physical address: 49409		 value: 0
Logical address: 1928		 Physical address: 33160		 value: 0
Logical address: 39425		 Physical address: 43265		 value: 0
Logical address: 32000		 Physical address: 49664		 value: 0
Logical address: 28549		 Physical address: 28037		 value: 0
Logical address: 46295		 Physical address: 50135		 value: 53
Logical address: 22772		 Physical address: 3060		 value: 0
Logical address: 58228		 Physical address: 34164		 value: 0
Logical address: 63525		 Physical address: 28197		 value: 0
